reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"Transport, freight, lorry, diesel, 7.5t gross weight, 2020, EURO-VI, regional delivery",2,1,True,0.33005617977528096,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2020, EURO-VI, urban delivery",2,1,True,0.33005617977528096,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, fleet average, long haul",2,1,True,0.7777777777777777,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, fleet average, regional delivery",2,1,True,0.7777777777777777,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, fleet average, urban delivery",2,1,True,0.7777777777777777,04-transport,template-with-variation
"Transport, freight, lorry, diesel, fleet average, long haul",2,2,False,,04-transport,variable-mix
"Transport, freight, lorry, diesel, fleet average, regional delivery",2,2,False,,04-transport,variable-mix
"Transport, freight, lorry, diesel, fleet average, urban delivery",2,2,False,,04-transport,variable-mix
"Transport, freight, lorry, fleet average",2,1,True,0.0,04-transport,trivial-template
"Anode, lithium-ion battery, graphite, at plant",2,2,False,,09-electronics,variable-mix
"Ammonia, liquid, at regional storehouse",2,1,True,0.0,03-chemicals,trivial-template
"Acetamide-anillide-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Transport, passenger car, compressed gas, 100% biomethane, Large, 2019, EURO-6d-TEMP",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Medium, 2003, EURO-3",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, fleet average",2,2,False,,04-transport,variable-mix
"Transport, passenger car, compressed gas, Large SUV, 2018, EURO-6c",2,1,True,0.5053691152063342,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large SUV, 2021, EURO-6d",2,1,True,0.5054462282874651,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large, 2003, EURO-3",2,1,True,0.505527344337858,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large, 2008, EURO-4",2,1,True,0.50529913087282,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large, 2013, EURO-5",2,1,True,0.5060984582989555,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large, 2016, EURO-6ab",2,1,True,0.5064544194461894,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large, 2018, EURO-6c",2,1,True,0.5055094225977089,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large, 2019, EURO-6d-TEMP",2,1,True,0.5057458263070916,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large, 2021, EURO-6d",2,1,True,0.506241938771992,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Medium, 2003, EURO-3",2,1,True,0.5046769982855484,04-transport,template-with-variation
